LEI,Bank,CountryCode,Country,FinancialYearEnd,SizeBand,SizeBandSort,InAllExercises,InConstantPanel,FirstPeriod,LastPeriod
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
2138008AVF4W7FMW8W87,CEC BANK SA,RO,Romania,31 December,Under €50bn,4,No,No,202403,202506
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,Latvia,31 December,Under €50bn,4,Yes,Yes,202209,202506
213800DBQIB6VBNU5C64,Alpha Bank S.A.,GR,Greece,31 December,€50bn to €150bn,3,No,No,202409,202506
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,SI,Slovenia,31 December,Under €50bn,4,Yes,Yes,202209,202506
213800RZWHE5EUX9R444,Luminor Holding AS,EE,Estonia,31 December,Under €50bn,4,No,No,202209,202406
213800TC9PZRBHMJW403,MDB Group Limited,MT,Malta,31 December,Under €50bn,4,Yes,Yes,202209,202506
213800X3Q9LSAKRUWY91,KBC Groupe,BE,Belgium,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
222100K6QL2V4MLHWQ08,LSF NANI INVESTMENTS S.A R.L.,PT,Portugal,31 December,Under €50bn,4,Yes,Yes,202209,202506
254900RNFMDM0P11YR84,ATLANTIC LUX HOLDCO S.A R.L.,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
2G5BKIC2CB69PRJH1W31,Barclays Bank Ireland plc,IE,Ireland,31 December,Under €50bn,4,Yes,Yes,202209,202506
2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,IT,Italy,31 December,Over €500bn,1,Yes,Yes,202209,202506
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,Hungary,31 December,Under €50bn,4,Yes,Yes,202209,202506
3M5E1GQGKL17HI6CPN30,Jyske Bank A/S,DK,Denmark,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,LT,Lithuania,31 December,Under €50bn,4,Yes,Yes,202209,202506
5299007QVIQ7IO64NX37,UBS Europe SE,DE,Germany,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
5299009N55YRQC69CN08,ALPHA SERVICES AND HOLDINGS S.A.,GR,Greece,31 December,€50bn to €150bn,3,No,No,202209,202406
529900GGYMNGRQTDOO93,BNG Bank N.V.,NL,Netherlands,31 December,€50bn to €150bn,3,Yes,No,202212,202506
529900GJD3OQLRZCKW37,Volkswagen Bank Gesellschaft mit beschränkter Haftung,DE,Germany,31 December,€50bn to €150bn,3,No,No,202209,202306
529900GM944JT8YIRL63,Münchener Hypothekenbank eG,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
529900HEKOENJHPNN480,Kuntarahoitus Oyj,FI,Finland,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",DE,Germany,31 December,Over €500bn,1,Yes,Yes,202209,202506
529900JG015JC10LED24,AS LHV Group,EE,Estonia,31 December,Under €50bn,4,Yes,Yes,202209,202506
529900JZTYE3W7WQH904,HASPA Finanzholding,DE,Germany,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
529900ODI3047E2LIV03,Nordea Bank Abp,FI,Finland,31 December,Over €500bn,1,Yes,Yes,202209,202506
529900OE1FOAM50XLP72,Liechtensteinische Landesbank AG,LI,Liechtenstein,31 December,Under €50bn,4,Yes,No,202209,202506
529900RWC8ZYB066JF16,Bank of Valletta Plc,MT,Malta,31 December,Under €50bn,4,Yes,Yes,202209,202506
529900S1KHKOEQL5CK20,Wüstenrot Bausparkasse Aktiengesellschaft,DE,Germany,31 December,Under €50bn,4,Yes,No,202303,202506
529900S9YO2JHTIIDG38,BAWAG Group AG,AT,Austria,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
529900SSGT49ZZSWYE62,Volkswagen Financial Services AG,DE,Germany,31 December,€150bn to €500bn,2,No,No,202409,202506
529900SXEWPJ1MRRX537,Raiffeisen-Holding Niederösterreich-Wien,AT,Austria,31 December,Under €50bn,4,No,No,202403,202506
529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.a.r.l. & Co. KG,DE,Germany,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
529900W3MOO00A18X956,OTP-csoport,HU,Hungary,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
