ItemKey,Label,Template,IsRatio,RwaComponent,RwaSort,Basis,ItemSort
2520101,OWN FUNDS,Capital,No,,0,Point in time,2520101
2520102,COMMON EQUITY TIER 1 CAPITAL (net of deductions and after applying transitional adjustments),Capital,No,,0,Point in time,2520102
2520103,Capital instruments eligible as CET1 Capital (including share premium and net own capital instruments),Capital,No,,0,Point in time,2520103
2520104,Retained earnings,Capital,No,,0,Point in time,2520104
2520105,Accumulated other comprehensive income,Capital,No,,0,Point in time,2520105
2520106,Other Reserves,Capital,No,,0,Point in time,2520106
2520107,Funds for general banking risk,Capital,No,,0,Point in time,2520107
2520108,Minority interest given recognition in CET1 capital,Capital,No,,0,Point in time,2520108
2520109,Adjustments to CET1 due to prudential filters,Capital,No,,0,Point in time,2520109
2520110,(-) Intangible assets (including Goodwill),Capital,No,,0,Point in time,2520110
2520111,(-) DTAs that rely on future profitability and do not arise from temporary differences net of associated DTLs,Capital,No,,0,Point in time,2520111
2520112,(-) IRB shortfall of credit risk adjustments to expected losses,Capital,No,,0,Point in time,2520112
2520113,(-) Defined benefit pension fund assets,Capital,No,,0,Point in time,2520113
2520114,(-) Reciprocal cross holdings in CET1 Capital,Capital,No,,0,Point in time,2520114
2520115,(-) Excess deduction from AT1 items over AT1 Capital,Capital,No,,0,Point in time,2520115
2520116,(-) Deductions related to assets which can alternatively be subject to a 1250% risk weight,Capital,No,,0,Point in time,2520116
2520117,(-) Deductions related to assets which can alternatively be subject to a 1250% risk weight - Of which: from securitisation positions (-),Capital,No,,0,Point in time,2520117
2520118,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution does not have a significant investment,Capital,No,,0,Point in time,2520118
2520119,(-) Deductible DTAs that rely on future profitability and arise from temporary differences,Capital,No,,0,Point in time,2520119
2520120,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution has a significant investment,Capital,No,,0,Point in time,2520120
2520121,(-) Amount exceding the 17.65% threshold,Capital,No,,0,Point in time,2520121
2520122,(-) Additional deductions of CET1 Capital due to Article 3 CRR,Capital,No,,0,Point in time,2520122
2520123,CET1 capital elements or deductions - other,Capital,No,,0,Point in time,2520123
2520124,Transitional adjustments,Capital,No,,0,Point in time,2520124
2520125,Transitional adjustments due to grandfathered CET1 Capital instruments (+/-),Capital,No,,0,Point in time,2520125
