Period,QuarterEnd,Label,Year,Quarter,Sort,Exercise
202209,2022-09-30,Q3 2022,2022,3,1,2023
202212,2022-12-31,Q4 2022,2022,4,2,2023
202303,2023-03-31,Q1 2023,2023,1,3,2023
202306,2023-06-30,Q2 2023,2023,2,4,2023
202309,2023-09-30,Q3 2023,2023,3,5,2024
202312,2023-12-31,Q4 2023,2023,4,6,2024
202403,2024-03-31,Q1 2024,2024,1,7,2024
202406,2024-06-30,Q2 2024,2024,2,8,2024
202409,2024-09-30,Q3 2024,2024,3,9,2025
202412,2024-12-31,Q4 2024,2024,4,10,2025
202503,2025-03-31,Q1 2025,2025,1,11,2025
202506,2025-06-30,Q2 2025,2025,2,12,2025
